"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Booking management","Partially update booking name to ""Mohamed AbdElghany""","0","0","1","0","0"
"","Booking management","Partially update booking name to ""Jean-Luc O'Connor""","0","0","1","0","0"
"","Booking management","Full booking lifecycle - create, read, update, delete using ""create-booking.json""","0","0","1","0","0"
"","Booking management","Create a booking from payload ""create-booking.json""","0","0","1","0","0"
"","Booking management","Full booking lifecycle - create, read, update, delete using ""booking-no-additional-needs.json""","0","0","1","0","0"
"","Booking management","Retrieving a non-existent booking id 99999999 returns 404","0","0","1","0","0"
"","API health","Ping health check responds","0","0","1","0","0"
"","Authentication","Generate a token with valid credentials","0","0","1","0","0"
"","Booking management","Retrieving a non-existent booking id 0 returns 404","0","0","1","0","0"
"","Authentication","Authentication is rejected for ""empty credentials""","0","0","1","0","0"
"","Authentication","Authentication is rejected for ""wrong password""","0","0","1","0","0"
"","Booking management","Partially update booking name to ""Sara Ali""","0","0","1","0","0"
"","Booking management","Create a booking from payload ""booking-no-additional-needs.json""","0","0","1","0","0"
"","Booking management","Create a booking from payload ""booking-long-stay.json""","0","0","1","0","0"
"","Booking management","Retrieving a non-existent booking id -1 returns 404","0","0","1","0","0"
"","Authentication","Authentication is rejected for ""unknown user""","0","0","1","0","0"
"","Booking management","Create a booking with dynamically generated data","0","0","1","0","0"
"","Authentication","Authentication is rejected for ""sql injection""","0","0","1","0","0"
